Episode,sumofrewards(MATLQL)
0,278.2007812500205
1,263.23593750002493
2,220.28281250001345
3,220.54648437502172
4,152.79062500001172
5,335.04453125002965
6,188.7437500000137
7,160.4312500000083
8,336.4371093750243
9,331.06015625002203
10,287.7203125000121
11,90.16562499999078
12,136.12265624999142
13,230.93125000001092
14,151.87070312501123
15,148.60312500000543
16,315.7593750000228
17,298.94882812502743
18,195.7984375000185
19,189.57968750002001
