Episode,sumofrewardsgood(CHAT)
0,-30306.594865452775,30.0
1,-35177.92517780645,60.0
2,-35050.06406202395,80.0
3,-39635.578949735274,50.0
4,-40593.918061938355,140.0
5,-41385.217968101955,70.0
6,-39000.260844362616,40.0
7,-42741.08168615246,110.0
8,-39442.08689453294,30.0
9,-40466.06160463532,60.0
10,-41094.569467314024,100.0
11,-40285.58273250381,40.0
