Episode,sumofrewardsgood(TLQL)
0,-33621.3107650241,20.0
1,-26231.722032526617,50.0
2,-38708.484254825475,120.0
3,-31215.814283713185,60.0
4,-32613.75997773485,80.0
5,-21700.796026511598,120.0
6,-26434.440008500926,140.0
7,-28636.55927098365,20.0
8,-30984.02971378617,10.0
9,-21173.191907603436,150.0
10,-28196.625110854045,110.0
11,-30255.875137581872,40.0
