Episode,sumofrewardsgood(MATLAC)
0,-30718.111883978905,30.0
1,-25355.841810632493,140.0
2,-36374.22150125349,50.0
3,-32132.141350420392,70.0
4,-39138.199831224694,70.0
5,-30348.891241998608,180.0
6,-33927.17417500536,100.0
7,-32574.462670605073,80.0
8,-29929.717231946284,80.0
9,-42988.28374288586,150.0
10,-37136.32894203592,70.0
11,-40043.1322454502,40.0
