Episode,sumofrewards(MATLAC)
0,143.77499999999765
1,175.01132812500555
2,179.7515625000076
3,181.0249999999996
4,227.13046875002996
5,181.92148437501547
6,200.18515625002857
7,146.0875000000061
8,187.70859375001447
9,226.89218750002468
10,215.74179687503184
11,225.43125000001194
12,123.80624999999026
13,311.1187500000309
14,222.20468750002533
15,237.40000000001626
16,299.94296875001925
17,213.19882812503278
18,225.1109375000136
19,196.415625000017
